,sentence,label,data
262,"261,Product: Factual Goal: Speci c Topic Familiarity,null,null",null,null
263,"262,0.02 -0.02 -0.06 -0.09 -0.00 0.02 0.02 -0.07 0.04 0.05 0.07 0.01 0.10 -0.23 0.17 -0.20 0.19 -0.24,null,null",null,null
264,"263,# clicks,null,null",null,null
265,"264,0.20 -0.12 0.17 -0.07 0.18 -0.01,null,null",null,null
266,"265,# queries,null,null",null,null
267,"266,-0.36 0.17 -0.25 0.16 -0.35 -0.02,null,null",null,null
268,"267, Usef.p (mean) 0.23 -0.38 0.36 -0.36 0.08 -0.43,null,null",null,null
269,"268, Usef.p (max)  Usef.p (min),null,null",null,null
270,"269,0.16 0.09 0.22 -0.07 0.11 -0.08 0.01 0.19 -0.04 0.19 0.01 0.18,null,null",null,null
271,"270, Nov (max)  Nov (min),null,null",null,null
272,"271,0.24 -0.10 0.18 -0.09 -0.01 -0.20 -0.08 -0.06,null,null",null,null
273,"272,0.25 -0.11 0.07 -0.00,null,null",null,null
274,"273, Under.p (max)  Under.p (min),null,null",null,null
275,"274,0.09 -0.27 0.16 -0.08,null,null",null,null
276,"275,0.30 -0.15 0.14 -0.26,null,null",null,null
277,"276,0.14 -0.22 0.29 -0.27,null,null",null,null
278,"277, Relia.p (max) -0.13 -0.08 0.01 0.05 -0.03 0.06,null,null",null,null
279,"278, Relia.p (min) 0.06 0.01 -0.05 0.08 -0.07 0.04,null,null",null,null
280,"279, Effort (max) -0.12 0.16 0.08 0.28 -0.13 0.02,null,null",null,null
281,"280, Effort (min) Adjusted R2,null,null",null,null
282,"281,0.21 0.04 0.12 0.01 0.25 0.02 0.30 0.26 0.42 0.37 0.31 0.26,null,null",null,null
283,"282,""Light and dark shadings indicate p < 0.05 and 0.01, respectively."",null,null",null,null
284,"283,""· To reduce user frustration, a search system should o er results that are useful and easy-to-understand--both Usef.p (mean) and Under.p (max) show signi cant negative e ects on Frus."",null,null",null,null
285,"284,""· To help users successfully reach the goal (Succ), a search system should retrieve useful, novel, and easy-to-understand results-- Usef.p (mean), Nov (max), and Under.p (max) show signi cant positive e ects on Succ."",null,null",null,null
286,"285,""· To reduce the total e ort of a search session, the system should retrieve easy-to-understand results and avoid those requiring too much e ort--Under.p (min) shows a signi cant negative e ect on S.Eff and Effort (max) shows a positive one."",null,null",null,null
287,"286,""· To be er help users in a session (enhance the helpfulness of the system), a system should retrieve novel and easy-to-understand results--both Nov (max) and Under.p (max) show signi cant positive e ects on Help."",null,null",null,null
288,"287,""· To reduce the perceived task di culty, we need to retrieve useful and easy-to-understand results--both Usef.p (mean) and Under.p (min) show signi cant negative e ects on Diff. e coe cients suggest that the mean usefulness of the clicked"",null,null",null,null
289,"288,""results is helpful for explaining all six search experience measures (has statistically signi cant coe cients). In addition, novelty, understandability, and e ort also signi cantly relate to many di erent search experience measures, suggesting they are useful complements to usefulness in search result judgments. In contrast, reliability shows no signi cant e ect on any of the six user experience measures in Model 5 . However, we suspect this is because the top-ranked results returned by Google are mostly reliable ones, which makes reliability a less important judgment measure among the clicked results."",null,null",null,null
290,"289,Table 5: Statistics of the absolute di erence of two users' ratings on the same results (||).,null,null",null,null
291,"290,Usef.i Effort Nov Relia.i Under.i TRel Usef.p Relia.p Under.p,null,null",null,null
292,"291,| | mean (SD) 1.55 (1.45) 1.52 (1.25) 1.60 (1.47) 1.23 (1.21) 1.18 (1.23) 0.63 (0.68) 1.53 (1.54) 1.38 (1.35) 1.08 (1.31),null,null",null,null
293,"292,""|| , 0 25.9% 22.9% 26.4% 31.3% 34.8% 48.3% 29.9% 30.8% 38.8%"",null,null",null,null
294,"293,||  1 58.2% 57.7% 54.2% 67.2% 68.2% 89.1% 60.7% 62.2% 76.6%,null,null",null,null
295,"294,||  2 79.1% 76.1% 78.1% 86.1% 88.1% 100.0% 77.6% 81.1% 90.5%,null,null",null,null
296,"295,3.4 Variability of Judgments,null,null",null,null
297,"296,""We further examine the variability of judgments among di erent searchers, because in many practical scenarios we may have to train and evaluate retrieval systems based on relevance judgments made by external assessors. We suspect di erent users may have a greater degree of inconsistencies in their in situ judgments than their post-session ones (due to the contextual nature of the former). However, results do not support this conjecture well."",null,null",null,null
298,"297,""We examine the absolute di erence of two users' ratings on the same result. Table 5 reports the mean absolute di erence and the distribution. e mean absolute di erence for in situ and postsession usefulness judgments (Usef.i and Usef.p) are very close (1.55 vs. 1.53). e mean absolute di erence of post-session reliability judgments (Relia.p) is slightly higher than that for in situ ones (Relia.i) (1.38 vs. 1.23), but that for post-session understandability judgments (Under.p) is also slightly lower than the in situ ones (Under.i, 1.08 vs. 1.18). Overall, no evidence suggests that either in situ or post-session judgments is more or less consistent than the other across di erent users."",null,null",null,null
299,"298,""Further, we note that di erent users' reliability and understandability judgments seem more consistent than those for usefulness, e ort, and novelty judgments, regardless of performed in an in situ se ing or a post-session one. is suggests that usefulness, e ort, and novelty judgments may su er from inter-rate consistency by a greater extent, while inter-rate agreement is less likely a concern for understandability and reliability judgments. However, since users judged TRel by a di erent scale, it remains unclear how do the other ve judgments compare with standard TREC relevance judgments in terms of inter-rate consistency."",null,null",null,null
300,"299,3.5 Summary,null,null",null,null
301,"300,""To sum up, this section discloses both opportunities and challenges for future search result judgments. · Opportunity ­ Since a combination of multidimensional judg-"",null,null",null,null
302,"301,""ments explains user experience measures be er than using relevance or usefulness alone, we expect that an appropriate ranking of search results by multiple criteria may potentially yield be er user experience as well. e results in Table 4 also help select ranking criteria according to a targeted user experience measure. · Challenge ­ Extending current judgments from a single dimension to multiple aspects largely increases the cost of judgments."",null,null",null,null
303,"302,is is a crucial issue for the scalability of multidimensional judgments. e following sections address this concern by predicting multidimensional judgments using implicit feedback techniques.,null,null",null,null
304,"303,410,null,null",null,null
305,"304,Session 4A: Evaluation 2,null,null",null,null
306,"305,""SIGIR'17, August 7-11, 2017, Shinjuku, Tokyo, Japan"",null,null",null,null
307,"306,Table 6: Implicit feedback features and their correlation with di erent search result quality measures.,null,null",null,null
308,"307,Pearson's r with search result judgments,null,null",null,null
309,"308,Click Dwell Time Features,null,null",null,null
310,"309,Note,null,null",null,null
311,"310,TRel Usef.p Nov Effort Under.p Relia.p,null,null",null,null
312,"311,T1 Click dwell time (log).,null,null",null,null
313,"312,0.38,null,null",null,null
314,"313,0.43 0.41,null,null",null,null
315,"314,0.36,null,null",null,null
316,"315,0.12,null,null",null,null
317,"316,0.34,null,null",null,null
318,"317,T2 T3 T4 T5,null,null",null,null
319,"318,(t - µ )/ . t is the result's dwell time; µ is average click dwell time;  is the standard deviation of click dwell time. T3-5 are based on personalized versions of µ and  .,null,null",null,null
320,"319,all clicks by user by task by length,null,null",null,null
321,"320,0.31,null,null",null,null
322,"321,0.34 0.30,null,null",null,null
323,"322,0.32,null,null",null,null
324,"323,0.31,null,null",null,null
325,"324,0.36 0.38,null,null",null,null
326,"325,0.32,null,null",null,null
327,"326,0.31,null,null",null,null
328,"327,0.35 0.30,null,null",null,null
329,"328,0.32,null,null",null,null
330,"329,0.29,null,null",null,null
331,"330,0.33 0.29,null,null",null,null
332,"331,0.31,null,null",null,null
333,"332,0.06 0.09 0.06 0.06,null,null",null,null
334,"333,0.24 0.24 0.24 0.24,null,null",null,null
335,"334,Follow-up ery Features,null,null",null,null
336,"335,Q1,null,null",null,null
337,"336,Q2,null,null",null,null
338,"337,e number of terms in the next query found in the URL/title/body,null,null",null,null
339,"338,Q3 of the result.,null,null",null,null
340,"339,URL title body,null,null",null,null
341,"340,TRel,null,null",null,null
342,"341,-0.04 -0.03 -0.03,null,null",null,null
343,"342,Usef.p,null,null",null,null
344,"343,0.03 -0.00 -0.03,null,null",null,null
345,"344,Nov,null,null",null,null
346,"345,-0.01 -0.00,null,null",null,null
347,"346,0.10,null,null",null,null
348,"347,Effort,null,null",null,null
349,"348,-0.02 0.01 0.06,null,null",null,null
350,"349,Under.p,null,null",null,null
351,"350,-0.02 -0.00,null,null",null,null
352,"351,0.03,null,null",null,null
353,"352,Relia.p,null,null",null,null
354,"353,0.03 -0.02 -0.02,null,null",null,null
355,"354,Q4,null,null",null,null
356,"355,e percentage of terms in the next query found in the,null,null",null,null
357,"356,Q5 URL/title/body of the result.,null,null",null,null
358,"357,Q6,null,null",null,null
359,"358,URL title body,null,null",null,null
360,"359,0.02 0.09 0.02 -0.04,null,null",null,null
361,"360,0.01,null,null",null,null
362,"361,0.08,null,null",null,null
363,"362,0.07 0.10 0.06 -0.00,null,null",null,null
364,"363,0.05,null,null",null,null
365,"364,0.07,null,null",null,null
366,"365,0.17,null,null",null,null
367,"366,0.18 0.21,null,null",null,null
368,"367,0.04,null,null",null,null
369,"368,0.13,null,null",null,null
370,"369,0.18,null,null",null,null
371,"370,Q7,null,null",null,null
372,"371,e number of newly added query terms in the next query refor-,null,null",null,null
373,"372,Q8 mulation found in the URL/title/body of the result.,null,null",null,null
374,"373,Q9,null,null",null,null
375,"374,URL title body,null,null",null,null
376,"375,0.03 -0.01 -0.03 -0.06 0.07 0.04 0.00 -0.07 0.07 0.07 0.13 -0.04,null,null",null,null
377,"376,0.02,null,null",null,null
378,"377,0.02,null,null",null,null
379,"378,0.01 -0.00,null,null",null,null
380,"379,0.04 -0.02,null,null",null,null
381,"380,Q10,null,null",null,null
382,"381,e number of removed query terms in the next query reformula-,null,null",null,null
383,"382,Q11 tion found in the URL/title/body of the result.,null,null",null,null
384,"383,Q12,null,null",null,null
385,"384,URL title body,null,null",null,null
386,"385,0.01 0.01 -0.00 -0.07 -0.04 -0.12,null,null",null,null
387,"386,0.06 0.09 0.06 -0.09,null,null",null,null
388,"387,0.03 -0.06,null,null",null,null
389,"388,0.08,null,null",null,null
390,"389,0.07 0.06,null,null",null,null
391,"390,0.01,null,null",null,null
392,"391,-0.09,null,null",null,null
393,"392,-0.04,null,null",null,null
394,"393,Q13,null,null",null,null
395,"394,e mean/max/min log likelihood scores between the full content,null,null",null,null
396,"395,Q14 of the result and follow-up queries.,null,null",null,null
397,"396,Q15,null,null",null,null
398,"397,mean max min,null,null",null,null
399,"398,0.22 0.23 0.22 -0.03,null,null",null,null
400,"399,0.19,null,null",null,null
401,"400,0.23,null,null",null,null
402,"401,0.22 0.23 0.21 -0.03,null,null",null,null
403,"402,0.17,null,null",null,null
404,"403,0.18,null,null",null,null
405,"404,0.15 0.19 0.19 -0.01,null,null",null,null
406,"405,0.17,null,null",null,null
407,"406,0.19,null,null",null,null
408,"407,Follow-up Click Features,null,null",null,null
409,"408,TRel Usef.p Nov Effort Under.p Relia.p,null,null",null,null
410,"409,C1,null,null",null,null
411,"410,e mean/max/min similarity between the title of the result and,null,null",null,null
412,"411,C2 the titles of clicked results in follow-up searches.,null,null",null,null
413,"412,C3,null,null",null,null
414,"413,mean max min,null,null",null,null
415,"414,0.04,null,null",null,null
416,"415,0.05 0.12,null,null",null,null
417,"416,0.02,null,null",null,null
418,"417,0.04,null,null",null,null
419,"418,0.01,null,null",null,null
420,"419,0.05,null,null",null,null
421,"420,0.04 0.09,null,null",null,null
422,"421,0.00,null,null",null,null
423,"422,0.06,null,null",null,null
424,"423,0.00,null,null",null,null
425,"424,0.06,null,null",null,null
426,"425,0.08 0.10,null,null",null,null
427,"426,0.01,null,null",null,null
428,"427,-0.01,null,null",null,null
429,"428,0.03,null,null",null,null
430,"429,C4,null,null",null,null
431,"430,e mean/max/min similarity between the snippet of the result,null,null",null,null
432,"431,C5 and the snippets of clicked results in follow-up searches.,null,null",null,null
433,"432,C6,null,null",null,null
434,"433,mean max min,null,null",null,null
435,"434,-0.00 -0.04,null,null",null,null
436,"435,0.08,null,null",null,null
437,"436,0.01 -0.06,null,null",null,null
438,"437,0.11,null,null",null,null
439,"438,0.01 -0.06,null,null",null,null
440,"439,0.10,null,null",null,null
441,"440,0.04 -0.05,null,null",null,null
442,"441,0.07,null,null",null,null
443,"442,0.02,null,null",null,null
444,"443,0.03,null,null",null,null
445,"444,0.01 -0.04,null,null",null,null
446,"445,0.06,null,null",null,null
447,"446,0.09,null,null",null,null
448,"447,C7,null,null",null,null
449,"448,e mean/max/min similarity between the full content of the result,null,null",null,null
450,"449,C8 and the full contents of SAT clicks (dwell time > 30s) in follow-up,null,null",null,null
451,"450,C9 searches.,null,null",null,null
452,"451,C10,null,null",null,null
453,"452,e mean/max/min similarity between the title of the result and,null,null",null,null
454,"453,C11 the titles of skipped results in follow-up searches.,null,null",null,null
455,"454,C12,null,null",null,null
456,"455,mean max min mean max min,null,null",null,null
457,"456,0.19,null,null",null,null
458,"457,0.23 0.09,null,null",null,null
459,"458,0.01,null,null",null,null
460,"459,-0.02,null,null",null,null
461,"460,0.10,null,null",null,null
462,"461,0.20 0.20 0.05 -0.00,null,null",null,null
463,"462,0.00,null,null",null,null
464,"463,0.08,null,null",null,null
465,"464,0.12 0.17 0.07 -0.00 -0.01,null,null",null,null
466,"465,0.07,null,null",null,null
467,"466,0.09,null,null",null,null
468,"467,0.11 0.11,null,null",null,null
469,"468,0.02,null,null",null,null
470,"469,0.05,null,null",null,null
471,"470,0.05,null,null",null,null
472,"471,0.11 0.09 0.06 -0.01,null,null",null,null
473,"472,0.05,null,null",null,null
474,"473,0.02,null,null",null,null
475,"474,0.09 0.13 0.13 -0.05,null,null",null,null
476,"475,0.00,null,null",null,null
477,"476,0.05,null,null",null,null
478,"477,C13,null,null",null,null
479,"478,e mean/max/min similarity between the snippet of the result,null,null",null,null
480,"479,C14 and the snippets of skipped results in follow-up searches.,null,null",null,null
481,"480,C15,null,null",null,null
482,"481,mean max min,null,null",null,null
483,"482,0.01,null,null",null,null
484,"483,0.03 0.03,null,null",null,null
485,"484,0.11,null,null",null,null
486,"485,-0.05,null,null",null,null
487,"486,0.03,null,null",null,null
488,"487,0.02 0.01 -0.01 -0.00,null,null",null,null
489,"488,0.02 -0.02,null,null",null,null
490,"489,0.10,null,null",null,null
491,"490,0.12 0.12,null,null",null,null
492,"491,0.13,null,null",null,null
493,"492,-0.05,null,null",null,null
494,"493,0.11,null,null",null,null
495,"494,""Light and dark shadings indicate the correlation is signi cant at 0.05 and 0.01 levels, respectively."",null,null",null,null
496,"495,4 PREDICTION,null,null",null,null
497,"496,""is section introduces our techniques for predicting multidimensional judgments of clicked results from search logs. We model the prediction task as a regression problem--the input is features related to a target click, the output is the predicted judgment score of the clicked result. We use gradient boosted regression trees (GBRT) for prediction. Table 6 lists the prediction features. Due to the limited space, we only report results for predicting TRel and the judgments included in Model 5 --Usef.p, Nov, Effort, Under.p, and Relia.p. However, the described approach can also e ectively predict other search result judgments as well."",null,null",null,null
498,"497,4.1 Click Dwell Time Features,null,null",null,null
499,"498,""Click dwell time (T1) is one of the most widely used implicit feedback measure. As Table 6 shows, T1 does not correlate much with understandability, but it still has 0.3­0.4 correlations (signi cant at 0.01 level) with other measures."",null,null",null,null
500,"499,T2­T5 measure the deviation of a click's dwell time from the mean dwell time (µ) of a group of clicks (normalized by the standard deviation  ). T2 computes µ and  based on all clicks in the training sets. T3 is based on clicks by the same user. T4 is based on clicks in sessions with the same task type. T5 is based on clicks on documents with similar length (we divide the clicked results into ten bins by length and compute µ and  of a click based on its bin).,null,null",null,null
501,"500,4.2 Follow-up ery Features,null,null",null,null
502,"501,Follow-up query features are based on the intuition that a clicked result may in uence follow-up query reformulation in a session.,null,null",null,null
503,"502,""us, we can infer the quality of a click from queries issued a er the clicked result in the same session."",null,null",null,null
504,"503,Q1­Q6 match the terms in the immediate follow-up query with the target click. Q7­Q12 match the newly added and removed terms in the immediate follow-up query reformulation with the target click. Q13­Q15 match the target click with all follow-up queries.,null,null",null,null
505,"504,411,null,null",null,null
506,"505,Session 4A: Evaluation 2,null,null",null,null
507,"506,""SIGIR'17, August 7-11, 2017, Shinjuku, Tokyo, Japan"",null,null",null,null
508,"507,""Many of the follow-up query features (such as Q6 and Q13­Q15) have signi cant correlations with the search result quality measures, con rming that the intuition is reasonable. We also note that Q6 and Q13­Q15 have stronger correlations with understandability than click dwell time features."",null,null",null,null
509,"508,4.3 Follow-up Click Features,null,null",null,null
510,"509,""Similar to follow-up query features, we may also infer the quality of a target click based on follow-up clicks in a session."",null,null",null,null
511,"510,""C1­C6 measure the similarity between the target click and followup clicks. C7­C9 measure the similarity with follow-up satisfactory (SAT) clicks. C10­C15 measure the similarity with follow-up skipped results (unclicked results ranked higher than a clicked result). Some features have signi cant correlations with the search result quality measures, suggesting they may be useful predictors."",null,null",null,null
512,"511,4.4 Prior-to-click Features (Baseline),null,null",null,null
513,"512,""Prior-to-click features include the existing techniques that predict search result quality measures using information available before users clicking on the result. In this paper, they serve as the baseline for the implicit feedback features. We include a full list of prior-toclick features in an online appendix1."",null,null",null,null
514,"513,""We incorporate di erent prior-to-click features for predicting di erent measures. e shared features for all six measures include the rank of the result by Google search, ad hoc search models (QL, BM25, DFR [3], and SDM [38]), and session search models [14, 47]."",null,null",null,null
515,"514,e unique features for predicting each measure are: · TRel ­ a subset of LETOR features [34]. · Usef.p ­ a subset of LETOR features [34] and a subset of the,null,null",null,null
516,"515,""usefulness features by Mao et al. [36] that do not rely on postclick information. · Nov ­ the similarity of the click with previous clicks and higher ranked results in the same SERP (motivated by previous work on novelty-based search result diversi cation [6, 43, 44, 55]). · Effort ­ Yilmaz et al. [54] and Verma et al. [50]. · Under.p ­ Palo i et al. [41, 42]. · Relia.p ­ Olteanu et al. [39] and Wawer et al. [51]. Our prior-to-click features are representatives of the state-of-theart techniques for predicting each dimension of judgments without using implicit feedback. However, we did not include features that we do not have the resource to calculate, which include link structure based features and social media popularity features such as Twi er mention. Note this may reduce the e ectiveness of predicting reliability since the excluded features take about 1/3 of the features by Olteanu et al. [39] and Wawer et al. [51]."",null,null",null,null
517,"516,5 EVALUATION,null,null",null,null
518,"517,5.1 Experiment Settings,null,null",null,null
519,"518,""We evaluate prediction (regression) by the Pearson's correlation between the predicted values and actual judgments (prediction correlation) and the root mean square error (RMSE) of the predicted values. Note that the RMSE for predicting di erent measures is not comparable-- rst, TREC relevance ranges from 0­3 while others from 1­7; second, their distributions vary a lot. Here we only report"",null,null",null,null
520,"519,1 h p://ciir.cs.umass.edu/downloads/mdrel/,null,null",null,null
521,"520,prediction correlation for its easy interpretability. e results of RMSE is highly consistent with that using prediction correlation.,null,null",null,null
522,"521,""e dataset for evaluation includes multidimensional judgments on the 727 unique clicked results. We use 10-fold cross validation for evaluation (using eight folds for training, one for validation, and one for testing). We randomly shu e the dataset 10 times and apply 10-fold cross-validation for each random shu ing of the whole dataset--this generates prediction results on 10 × 10 ,"""" 100 test folds in total (note that we are not using a 100-fold cross validation). We report the mean and standard deviation (SD) of prediction correlation on the test folds. We note that the prediction correlation reported in this section is di erent from and cannot be compared with the correlation in Table 6, which are computed for the whole dataset without cross validation."""""",null,null",null,null
523,"522,5.2 Click Dwell Time Features,null,null",null,null
524,"523,""Current techniques for inferring search result quality from logs rely on click dwell time. Results ( 1 in Table 7) suggest the click dwell time features work reasonably well for predicting usefulness, novelty, and e ort, but they have di culties inferring the understandability and reliability of results."",null,null",null,null
525,"524,""e click dwell time features ( 1 ) are e ective predictors for usefulness, novelty, and e ort. For these three measures, the predicted values have about 0.3­0.4 mean Pearson's correlation with the actual judgments, which is comparable to that for predicting TREC relevance (mean r ,"""" 0.35). However, the click dwell time features perform much worse for predicting understandability and reliability. On average the predicted and actual judgments have only 0.10 and 0.22 correlation, suggesting it is necessary to incorporate new implicit feedback signals."""""",null,null",null,null
526,"525,5.3 Follow-up ery and Click Features,null,null",null,null
527,"526,We extend click dwell time to include signals from follow-up search activities. Results suggest the new features are helpful.,null,null",null,null
528,"527,""e follow-up query ( 2 ) and click features ( 3 ) alone have limited prediction capability. However, combining them with the click dwell time features ( 4 ) consistently produces be er prediction than using click dwell time features alone ( 1 ): except for e ort, the prediction correlation for the other ve measures using feature set 4 is signi cantly be er than that for click dwell time features ( 1 ). is indicates that follow-up queries and clicks indeed provide useful implicit feedback that are complementary to click dwell time."",null,null",null,null
529,"528,""e follow-up query and click features are particularly helpful for predicting reliability. Combining them with the click dwell time features improves the mean correlation of prediction from 0.22 to 0.36. e new features are also helpful for predicting TREC relevance and usefulness as well. is partly con rms our intuition--the quality of a clicked result may in uence follow-up search activities, making it possible to infer the quality of a clicked result based on what happened a erward in the session."",null,null",null,null
530,"529,""e new features also improved the mean prediction correlation for understandability from 0.10 to 0.20. However, we note the combination of all implicit feedback features still does not work well for predicting understandability (mean r ,"""" 0.20). is suggests that, compared with other judgments, it is more challenging to predict understandability based on the implicit feedback information."""""",null,null",null,null
531,"530,412,null,null",null,null
532,"531,Session 4A: Evaluation 2,null,null",null,null
533,"532,""SIGIR'17, August 7-11, 2017, Shinjuku, Tokyo, Japan"",null,null",null,null
534,"533,Table 7: e e ectiveness of di erent features for predicting multidimensional search result judgments.,null,null",null,null
535,"534,Mean (SD) Pearson's r between true and predicted judgments over the test folds,null,null",null,null
536,"535,Features,null,null",null,null
537,"536,TRel,null,null",null,null
538,"537,Usef.p,null,null",null,null
539,"538,Nov,null,null",null,null
540,"539,Effort,null,null",null,null
541,"540,Under.p,null,null",null,null
542,"541,Relia.p,null,null",null,null
543,"542,1 Click Dwell Time,null,null",null,null
544,"543,0.35 (0.11),null,null",null,null
545,"544,0.40 (0.11),null,null",null,null
546,"545,0.42 (0.11),null,null",null,null
547,"546,0.31 (0.10),null,null",null,null
548,"547,0.10 (0.14),null,null",null,null
549,"548,0.22 (0.13),null,null",null,null
550,"549,2 Follow-up ery,null,null",null,null
551,"550,0.19 (0.11),null,null",null,null
552,"551,0.17 (0.14),null,null",null,null
553,"552,0.13 (0.13),null,null",null,null
554,"553,0.12 (0.11),null,null",null,null
555,"554,0.14 (0.12),null,null",null,null
556,"555,0.19 (0.12),null,null",null,null
557,"556,3 Follow-up Click,null,null",null,null
558,"557,0.15 (0.12),null,null",null,null
559,"558,0.20 (0.11),null,null",null,null
560,"559,0.11 (0.12),null,null",null,null
561,"560,0.14 (0.11),null,null",null,null
562,"561,0.11 (0.12),null,null",null,null
563,"562,0.17 (0.12),null,null",null,null
564,"563,4 All ( 1 + 2 + 3 ),null,null",null,null
565,"564,0.39 (0.09),null,null",null,null
566,"565,0.46 (0.08),null,null",null,null
567,"566,0.45 (0.09),null,null",null,null
568,"567,0.33 (0.11),null,null",null,null
569,"568,0.20 (0.13),null,null",null,null
570,"569,0.36 (0.12),null,null",null,null
571,"570,1 vs. 4,null,null",null,null
572,"571,**,null,null",null,null
573,"572,**,null,null",null,null
574,"573,*,null,null",null,null
575,"574,**,null,null",null,null
576,"575,**,null,null",null,null
577,"576,5 Prior-to-click,null,null",null,null
578,"577,0.36 (0.10),null,null",null,null
579,"578,0.29 (0.10),null,null",null,null
580,"579,0.28 (0.11),null,null",null,null
581,"580,0.13 (0.12),null,null",null,null
582,"581,0.20 (0.14),null,null",null,null
583,"582,0.18 (0.13),null,null",null,null
584,"583,4 vs. 5,null,null",null,null
585,"584,**,null,null",null,null
586,"585,**,null,null",null,null
587,"586,**,null,null",null,null
588,"587,**,null,null",null,null
589,"588,**,null,null",null,null
590,"589,6 All+Prior-to-click,null,null",null,null
591,"590,0.45 (0.08),null,null",null,null
592,"591,0.49 (0.09),null,null",null,null
593,"592,0.47 (0.09),null,null",null,null
594,"593,0.39 (0.09),null,null",null,null
595,"594,0.26 (0.12),null,null",null,null
596,"595,0.40 (0.11),null,null",null,null
597,"596,5 vs. 6,null,null",null,null
598,"597,**,null,null",null,null
599,"598,**,null,null",null,null
600,"599,**,null,null",null,null
601,"600,**,null,null",null,null
602,"601,**,null,null",null,null
603,"602,**,null,null",null,null
604,"603,* and ** indicate the di erence is statistically signi cant at 0.05 and 0.01 levels by two-tail paired t -test.,null,null",null,null
605,"604,5.4 Comparing to Prior-to-click Features,null,null",null,null
606,"605,An important application of implicit feedback techniques is to infer relevance labels from search logs. Aggregating inferred relevance labels or implicit feedback signals from past search logs may help rank search results in the future [2]. We examine whether or not implicit feedback techniques can serve a similar purpose for multidimensional judgments.,null,null",null,null
607,"606,""e combination of the implicit feedback features and the priorto-click features ( 6 ) generated signi cantly be er prediction results on all the six judgments than using the prior-to-click features alone ( 5 ). is suggests that the implicit feedback features are indeed helpful and complementary to the prior-to-click features for predicting these judgments. We also note that the improvements in mean prediction correlation can be as large as over 0.2 (such as for predicting reliability and e ort). However, even combining the two sets of features still cannot adequately predict understandability (mean r , 0.26)."",null,null",null,null
608,"607,6 DISCUSSION AND CONCLUSION,null,null",null,null
609,"608,""A crucial issue of information retrieval is deciding which criteria to use to rank search results. We compared two seemingly reasonable directions for improving current TREC-style relevance judgments. One direction is to collect in situ search result judgments. e other one is to complement a single dimension of judgments (such as relevance or usefulness) by combining with other aspects. We found that the la er direction seems more e ective and versatile-- using a combination of di erent dimensions of judgments, we can almost always improve correlation with user experience measures."",null,null",null,null
610,"609,""We envision future search engines should rank results by multiple aspects. We also o ered initial suggestions on which criteria to adopt and when to adopt them. We further examined and improved implicit feedback techniques for predicting multiple judgments, addressing the scalability concern of applying multidimensional judgments in real web search applications."",null,null",null,null
611,"610,Our study makes the following contributions: · We evaluated and compared in situ usefulness judgments with,null,null",null,null
612,"611,""regular relevance/usefulness judgments by searchers. We show that using usefulness as the judgment criteria is fruitful, but in situ judgments do not show clear bene ts over regular ones. · We evaluate multidimensional search result judgments considering four alternative aspects other than relevance/usefulness. We show that multidimensional judgments be er correlate with user"",null,null",null,null
613,"612,""experience measures than using relevance/usefulness judgments alone. We also note that multidimensional judgments is a be er direction for improving TREC-style relevance judgments. · Our study also discloses the connections between di erent user experience measures and various dimensions of search result judgments. is o ers practical suggestions for system design, such as the appropriate dimensions to judge search results for the purpose of improving a particular user experience measure. · We successfully generalize implicit feedback signals to include follow-up searches and clicks in a search session to help click dwell time be er predict multidimensional judgments. To the best of our knowledge, we are also the rst to examine the e ectiveness of implicit feedback approaches for predicting novelty, understandability, reliability, and e ort."",null,null",null,null
614,"613,Our work also sheds lights on a few critical areas for exploration in the future:,null,null",null,null
615,"614,""An important line of future work is to provide more accurate criteria for search result ranking and evaluation. Based on a regression analysis, we have already o ered initial suggestions on what criteria to use and when to use them, as discussed in Section 3.3. We note that, with a su ciently large dataset, one can possibly learn a prediction model for search experience measures by taking multidimensional judgments of results as input. Such a model can further address issues such as what are the proper weights to put on di erent aspects when ranking search results. It may also solve the discrepancy between o ine evaluation measures and user experience measures, and ultimately serve as a be er objective function for training ranking models."",null,null",null,null
616,"615,""Another important application is to perform multidimensional ranking of search results based on implicit feedback signals and other information. We have already demonstrated that implicit feedback approaches can infer judgments of usefulness, novelty, e ort, and reliability with reasonable accuracy comparing to those for relevance labels. Aggregating such inferred judgments from past search logs may serve as useful features for performing multidimensional search result ranking in the future. However, we also note that our current technique needs to be improved to be er infer understandability of results from search logs."",null,null",null,null
617,"616,""We do admit certain limitations in our current study. First, our analysis and experiments are solely based on data collected from one laboratory user study, which is limited in both scale and representativeness. We suggest that further studies employ larger"",null,null",null,null
618,"617,413,null,null",null,null
619,"618,Session 4A: Evaluation 2,null,null",null,null
620,"619,""SIGIR'17, August 7-11, 2017, Shinjuku, Tokyo, Japan"",null,null",null,null
621,"620,""datasets to verify our ndings. Second, it is worth noting that our way of collecting in situ judgments in uenced users' natural search behaviors. We observed in our log that users spent on average 12.1 seconds to nish the in situ judgments. us some particular user behavior pa erns may vary when applied to another scenario (without interrupting users for in situ judgments). ird, we also note that we only collected search result judgments for the clicked results, while it remains unclear to which extent the ndings can be generalized to the unclicked ones. Last but not least, the collected post-session judgments are more or less in uenced by the search session and the in situ judgments (although we meant to collect context-independent judgments such as to compare with contextual ones). It is also worth noting that our post-session judgments are not fully representative of the existing TREC-style approach."",null,null",null,null
622,"621,7 ACKNOWLEDGMENT,null,null",null,null
